ti	4249
na	2997
a@@	2392
lo	2025
ala	1837
so	1596
a	1400
ni	1206
e	1166
i@@	1000
e@@	889
o	849
u@@	833
ayeke	832
o@@	822
si	794
l@@	716
ng@@	698
u	649
nd@@	644
k@@	638
t@@	625
s@@	615
y@@	613
ye	544
yeke	541
azo	540
jésus	519
ing@@	513
m@@	500
p@@	499
ko@@	488
tene	486
zo	476
b@@	468
d@@	466
w@@	459
i	450
mbi	440
mo	439
gb@@	421
f@@	417
mbeni	408
atene	408
tënë	406
pepe	405
z@@	394
si@@	371
aa	362
n	353
ang@@	347
iri	340
ya	329
ak@@	328
r@@	326
ia	324
al@@	321
h@@	317
li	314
le@@	313
kue	312
ab@@	312
mu	306
le	305
ndo	302
mb@@	300
â	297
oko	288
nda	281
sara	280
nzapa	279
aw@@	265
tere	259
me	255
ango	253
ku@@	247
n@@	243
gi	235
g@@	235
bi	230
oni	219
be	213
fade	212
ad@@	208
at@@	207
ong@@	206
ge	205
kota	198
tongana	194
anga	190
mo@@	187
gue	184
nzoni	180
ma	175
ali	172
ar@@	170
pek@@	167
baa	167
aga	161
ngbanga	160
ro	159
o-@@	157
ah@@	154
ara	153
da	151
ö	149
nz@@	149
ngb@@	135
-@@	135
tonga@@	132
re	129
ta	124
ga	124
mbe@@	123
v@@	122
ne	97
eke	97
‘	94
’	90
j@@	85
pe@@	72
ir@@	61
su@@	55
ek@@	48
pe	41
ok@@	41
m	39
s	38
ap@@	37
é@@	31
jé@@	28
fad@@	28
ê@@	25
te@@	24
apa	24
c@@	20
ê	16
t	15
ï@@	14
q@@	13
l	12
d	11
gu@@	9
r	6
—	5
h	5
é	3
â@@	3
tong@@	3
c	2
b	2
x@@	1
