an@@	3454
o@@	2985
t@@	2599
i@@	2489
ny	2372
a	2293
e@@	2289
a@@	2227
y	2146
o	1986
n@@	1946
m@@	1915
s@@	1847
h@@	1666
r@@	1421
ah@@	1361
am@@	1286
any	1232
f@@	1202
l@@	1084
k@@	1055
iz@@	970
v@@	893
ao	884
tra	867
ar@@	837
az@@	836
b@@	835
ni@@	821
dia	818
in@@	808
ay	797
dr@@	788
ka	734
ho@@	730
izy	704
d@@	689
fa	686
j@@	663
ana	649
at@@	639
al@@	628
nan@@	619
oa	602
ary	586
-@@	585
av@@	581
on@@	571
sy	557
ir@@	552
’@@	551
aka	551
e	524
i	520
amin’ny	488
p@@	487
eh@@	477
iny	469
mp@@	466
ian@@	466
g@@	462
eo	459
it@@	453
ak@@	445
tsy	442
tr@@	438
ina	427
ol@@	416
ona	407
areo	398
z@@	284
amin’@@	265
in’@@	209
di@@	196
à@@	139
’	106
ô@@	103
‹	59
›	55
ô	37
à	37
ỳ	34
ò@@	11
ì@@	10
ò	9
î@@	2
