i@@	4391
k@@	3925
e@@	3308
u@@	3253
s@@	2971
a	2834
ä@@	2720
n@@	2719
t@@	2700
h@@	2654
o@@	2589
a@@	2490
l@@	1958
i	1913
ä	1687
r@@	1665
p@@	1621
m@@	1573
v@@	1400
en	1400
t	1307
st@@	1295
y@@	1270
si@@	1202
an@@	1130
e	1120
ja	999
mi@@	980
an	978
ll@@	955
tt@@	939
ka@@	939
än	893
in	813
ku@@	795
s	767
d@@	764
va@@	753
ei@@	740
ta@@	737
tu@@	724
se@@	702
j@@	696
en@@	630
ma@@	619
ol@@	617
jo@@	613
lle	584
oi@@	569
si	535
tä	532
jeesu@@	497
vat	496
on	477
ett@@	472
sa@@	460
n	459
el@@	459
la@@	443
pa@@	433
hän@@	428
es@@	294
o	238
ö@@	220
än@@	220
g@@	169
u	130
b@@	70
f@@	68
ö	65
je@@	57
y	48
-@@	34
b	4
m	3
l	3
d	3
r	2
f	1
esu@@	1
3	1
1@@	1
