i@@	3989
k@@	3518
e@@	3308
u@@	3253
t@@	2700
a@@	2490
a	2419
n@@	2317
ä@@	2296
h@@	2250
o@@	2182
s@@	2135
l@@	1958
i	1913
ä	1687
r@@	1665
p@@	1621
m@@	1573
en	1400
t	1307
st@@	1295
y@@	1270
si@@	1202
e	1120
ja	999
mi@@	980
an	978
v@@	976
ll@@	955
tt@@	939
ka@@	939
in	813
ku@@	795
s	767
d@@	764
va@@	753
ei@@	740
ta@@	737
tu@@	724
an@@	709
se@@	702
j@@	696
en@@	630
ma@@	619
ol@@	617
jo@@	613
lle	584
oi@@	569
si	535
tä	532
jeesu@@	497
vat	496
än	489
on	477
ett@@	472
sa@@	460
n	459
el@@	459
la@@	443
pa@@	433
hän@@	428
vä@@	424
san@@	421
sa	415
ko@@	407
hän	404
in@@	402
es@@	294
o	238
ö@@	220
än@@	220
g@@	169
u	130
b@@	70
f@@	68
ö	65
je@@	57
y	48
-@@	34
b	4
m	3
l	3
d	3
r	2
f	1
esu@@	1
3	1
1@@	1
