i@@	5677
a@@	4357
y@@	3315
tä	3252
e	3238
o@@	3190
t@@	3178
n@@	3091
w@@	2938
h@@	2796
ä@@	2753
e@@	2372
'@@	2296
j	2229
ch@@	2194
u@@	2120
m@@	2116
j@@	2059
l@@	1974
wet	1930
lh@@	1890
le@@	1794
s	1786
p@@	1758
k@@	1669
k	1592
a	1470
t	1430
i	1405
hä@@	1383
o	1378
'a@@	1240
lha@@	1211
hi@@	1208
ye@@	1187
ha@@	1122
ts@@	1105
f@@	1013
me@@	964
s@@	942
ta@@	882
ya@@	871
ich@@	862
l	804
n'@@	789
y	787
es@@	722
ok	713
en	702
p	677
ne@@	651
te@@	645
we@@	615
ú@@	532
d@@	492
—	476
n	457
ä	438
r@@	416
m	347
h	331
c@@	169
õ@@	162
g@@	96
é@@	78
b@@	73
í@@	70
v@@	41
á@@	39
u	35
ó@@	34
z@@	28
z	27
w	26
é	14
d	12
r	10
í	7
ú	3
ó	2
q@@	2
c	2
b	2
