a	2535
a@@	2018
u@@	1923
d@@	1852
i@@	1728
en	1694
h@@	1673
e@@	1672
g@@	1596
b@@	1375
o@@	1361
z@@	1338
t@@	1277
i	1192
u	1181
e	1113
k@@	1070
eta	1048
l@@	1030
zi@@	988
s@@	964
en@@	955
at@@	948
er@@	942
an	860
eg@@	805
or@@	801
r@@	797
j@@	777
ar@@	776
et@@	756
tz@@	751
ur@@	731
ai@@	725
ak	711
m@@	678
ko	665
zu@@	659
an@@	651
al@@	645
ik	614
it@@	605
ek	588
o	557
ir@@	554
es@@	529
n@@	527
p@@	525
ez	522
du@@	504
on@@	494
ain@@	483
in@@	480
as@@	445
ean	439
ber@@	414
arr@@	407
ba@@	406
ot@@	395
iz@@	388
el@@	382
ag@@	368
in	364
z	363
bi@@	358
zt@@	345
r	327
on	323
t	317
ko@@	306
em@@	305
ha@@	296
di@@	295
jesus@@	287
zen	270
—	269
era	268
esan	266
de@@	265
tzen	262
art@@	259
be@@	257
aren	255
ait@@	254
n	248
ik@@	245
un@@	242
ari	238
ze@@	236
ak@@	234
s	232
tzu@@	224
x@@	218
err@@	215
k	209
-@@	205
us@@	202
jes@@	135
f@@	123
l	97
v@@	13
m	6
