r@@	2646
l@@	2571
s@@	2494
t	2303
d@@	2265
i@@	2142
en	2140
m@@	2119
b@@	2060
e@@	2057
t@@	2055
n	1964
o@@	1956
n@@	1890
a@@	1852
g@@	1842
er@@	1764
er	1561
h@@	1545
w@@	1369
e	1332
f@@	1303
s	1295
k@@	1087
u@@	1045
an@@	1031
ge@@	1026
und	1013
m	1012
au@@	1005
r	992
te	974
ih@@	863
ein@@	859
ch	802
ei@@	775
z@@	768
ten	736
en@@	729
ü@@	726
der	716
die	657
den	654
ich	609
ch@@	593
es	592
da@@	584
sch@@	569
sa@@	551
p@@	525
ä@@	515
al@@	508
vo@@	501
sie	492
ie@@	491
v@@	485
st	485
st@@	482
d	463
zu	458
wa@@	449
eu@@	426
in@@	425
ha@@	411
g	410
jesus	406
eh@@	401
ich@@	400
es@@	392
ö@@	391
ein	371
ra@@	370
gen	368
j@@	367
wi@@	365
l	364
un@@	348
f	334
a	253
c@@	203
u	192
i	167
ß@@	147
o	143
ie	141
b	122
k	85
h	84
us	83
ß	65
z	59
y@@	30
x@@	4
q@@	4
p	4
0@@	4
jes@@	2
0	2
-@@	2
5@@	1
5	1
2@@	1
1@@	1
