a	3180
a@@	3160
i@@	3090
e@@	2628
r@@	2539
u@@	2481
t@@	2477
m@@	2449
s@@	2376
d@@	2367
l@@	2317
o	2195
o@@	2082
p@@	2063
c@@	1774
n@@	1662
e	1534
er@@	1415
y	1300
es	1179
g@@	1128
de	1128
h@@	1102
ar@@	1055
que	1032
os	1009
v@@	1004
di@@	999
b@@	946
r	917
los	897
n	835
an@@	814
j@@	793
co@@	787
el	782
en	750
en@@	744
í@@	704
do	697
la	687
as	678
ab@@	637
ó	628
an	625
ent@@	601
se	589
es@@	584
po@@	570
lo	570
ci@@	528
est@@	523
al@@	514
no	509
re@@	492
é@@	464
f@@	439
on	434
l	429
jesús	420
st@@	403
cu@@	383
qu@@	379
á@@	374
s	352
u	262
z@@	242
y@@	225
ñ@@	224
ó@@	220
á	219
í	214
i	214
é	160
d	131
z	65
ú@@	48
x@@	43
ú	26
t	13
‘	3
jes@@	3
b	3
’	2
c	2
ü@@	1
ús	1
k@@	1
h	1
