ा@@	2970
ह@@	2566
स@@	1859
र@@	1802
ा	1774
े	1761
म@@	1645
प@@	1596
ल@@	1558
्@@	1426
ि@@	1383
न@@	1375
ी	1359
ने	1357
और	1295
त@@	1211
क@@	1166
ग@@	1162
ु@@	1106
से	1103
र	1026
ो@@	1013
य@@	1008
ज@@	979
ब@@	937
उ@@	916
के	896
।	892
व@@	855
ी@@	853
े@@	843
द@@	737
न	726
ो	696
च@@	680
या	671
ं@@	664
न्@@	643
ों	642
ं	638
कि	626
उस	626
में	616
ू@@	602
कर	600
भ@@	598
स	563
श@@	526
थ@@	515
अ@@	508
है	498
को	472
आ@@	471
ता	468
ब	466
ख@@	456
म	433
तु@@	433
वह	394
क्@@	394
कर@@	387
की	385
त्@@	372
ार@@	370
ह	360
जा@@	358
त	352
ड़@@	351
ु	346
कहा	337
पर	335
ते	335
िय@@	334
य	334
ए@@	323
क	322
दे@@	320
का	319
ैं	314
उन	310
ट@@	299
पर@@	289
छ@@	281
ष@@	280
दि@@	280
तो	278
्व@@	276
ई	260
ड@@	258
ें	256
ए	251
इ@@	243
फ@@	239
ठ@@	232
ध@@	215
ै@@	213
ल	211
कह@@	200
थ	175
ग	165
झ@@	154
ि	140
॥	139
घ@@	132
़	130
ओ@@	127
ू	123
ौ@@	118
ढ@@	117
श	97
ट	96
आ	95
द	91
़@@	90
छ	81
ख	69
प	67
ृ@@	65
ण	57
ध	55
च	54
झ	53
ऐ@@	51
व	49
ण@@	46
ई@@	39
ओ	38
ज	35
ऊ@@	33
ञ@@	32
-@@	32
ष	25
ठ	23
भ	12
औ@@	9
ड	8
फ	5
ौ	4
’	2
‘	2
ै	2
ढ	1
ँ@@	1
