t@@	3610
s@@	3507
r@@	3050
e@@	2840
i@@	2525
c@@	2433
a@@	2406
s	2381
m@@	2080
d@@	2061
e	1998
p@@	1977
l@@	1729
v@@	1722
et	1663
é@@	1653
o@@	1579
t	1515
r	1479
n@@	1369
u@@	1230
le	1109
es	1044
ou@@	1029
en@@	1027
f@@	993
de	990
'@@	965
eu@@	889
il	880
g@@	834
on@@	807
di@@	804
ent	803
an@@	786
re	774
u	761
b@@	716
qu@@	700
j@@	693
er@@	689
ai@@	682
a	674
i	646
les	634
pa@@	615
à	606
ne	596
es@@	595
ri@@	584
ant	568
la	558
ous	528
au@@	526
é	518
n	510
on	488
è@@	482
oi@@	478
ait	477
en	475
ch@@	473
-@@	467
que	441
lui	428
mai@@	416
ils	412
su@@	411
pr@@	408
om@@	406
l'@@	397
av@@	386
qui	385
x	379
h@@	345
y@@	326
ê@@	281
z	246
il@@	188
lu@@	176
c	161
d	115
z@@	114
l	113
â@@	73
î@@	68
m	68
x@@	65
y	59
ô@@	58
ù	43
ç@@	41
œ@@	36
p	36
f	33
û@@	29
ï@@	26
h	14
q	13
o	11
g	10
ï	9
…	6
ë@@	5
b	3
ô	2
—	1
û	1
à@@	1
k@@	1
