t@@	2556
u@@	2465
a̱@@	2169
n@@	2068
ty@@	1990
e@@	1970
m@@	1919
i@@	1876
ch@@	1832
j@@	1761
u̱@@	1662
ri@@	1579
v@@	1567
d@@	1556
a	1447
a@@	1420
an@@	1284
sa@@	1232
si@@	1221
ji̱ta	1184
y@@	1137
i	1133
da@@	1077
mu@@	1068
iy	1058
y	1053
r@@	990
ra@@	968
s@@	959
̱	942
ja@@	936
ar@@	935
o@@	934
i̱@@	930
variy	910
u	833
ñ@@	829
p@@	820
ji@@	815
ju̱	808
ya@@	806
e	800
yi@@	783
̱@@	736
jiry@@	712
nu@@	703
va@@	699
sa̱@@	697
i̱	672
nu̱@@	644
ity@@	643
ry@@	634
ara	608
yada	601
mu	599
va	589
ni@@	586
nu	584
ta@@	575
siy	557
ru@@	548
su̱@@	536
qu@@	534
̱t@@	531
c@@	521
vari@@	515
ti@@	506
jada	505
ju̱@@	503
vay	494
anu@@	483
jesús	474
b@@	474
ra̱@@	461
ra	460
ya̱@@	455
u̱	448
da	443
jy@@	441
di@@	438
rya	436
tya@@	433
ne	430
eda	425
vich@@	420
ba@@	411
uv@@	389
my@@	377
a̱da	365
ñi̱	362
ju̱de@@	361
jiryatiy	348
dye	346
jary@@	334
teda	323
jya̱@@	320
at@@	318
rya̱@@	310
cho@@	310
san@@	301
ary@@	300
day	299
dy@@	275
de@@	231
ich@@	224
á@@	215
atiy	212
je@@	200
var@@	190
í@@	172
é@@	137
o	86
ó@@	85
ú@@	63
jesú@@	63
ji̱t@@	62
á	34
n	10
é	8
r	5
’	3
‘	3
ó	3
l@@	3
g@@	3
ú	2
sú@@	1
f@@	1
-@@	1
