ε@@	4954
τ@@	4114
α@@	3703
ι@@	3695
ο@@	3368
σ@@	3200
π@@	2934
μ@@	2382
ν@@	2300
θ@@	1953
λ@@	1912
κ@@	1883
η@@	1854
και	1798
δ@@	1784
ν	1746
ς	1741
ε	1736
ρ@@	1693
υ@@	1674
ω@@	1517
γ@@	1453
το@@	1420
α	1346
ι	1278
ει@@	1210
ον	1069
αυτο@@	1052
η	1051
ου@@	1009
εν	950
ος	931
ων	852
εις	818
χ@@	811
ας	736
υ	723
τη@@	710
πρ@@	704
ελ@@	699
ο	683
ου	655
αν@@	637
ερ@@	622
ει	609
β@@	609
αλ@@	599
φ@@	593
αρ@@	576
αν	569
το	554
να	552
δι@@	542
αι	535
ω	492
υς	491
ησ@@	474
αυ@@	415
ξ@@	351
ζ@@	296
ψ@@	137
ρ	71
τ	68
κ	68
ξ	59
π	55
λ	54
θ	48
μ	32
δ	13
φ	11
β	3
-@@	2
