i@@	3609
ang	3345
a@@	3010
u@@	3006
ka@@	2621
ma@@	2396
o	2312
na@@	2195
n@@	2115
ng	2048
sa	1843
i	1766
la@@	1641
ni@@	1609
o@@	1565
y@@	1563
n	1560
b@@	1514
r@@	1504
a	1456
pa@@	1422
y	1403
si@@	1322
m@@	1250
ta@@	1249
ng@@	1224
sa@@	1175
at	1140
k@@	1092
l@@	1078
p@@	1032
g@@	1029
d@@	1011
t	1003
mga	944
ba@@	932
s@@	850
ga@@	839
li@@	834
ha@@	819
w@@	816
ny@@	813
na	758
ong	701
la	696
s	681
t@@	678
hi@@	669
it@@	579
an	578
ya	553
pi@@	527
da@@	518
e@@	516
nag@@	514
jesus	491
tu@@	483
ti@@	482
on	474
pag@@	472
h@@	464
ki@@	455
’@@	451
g	440
d	406
-@@	311
l	309
k	300
su@@	287
w	178
p	159
m	145
j@@	94
‘	75
’	58
e	54
ga	52
u	47
c@@	44
b	31
je@@	29
r	28
z@@	22
v@@	20
â	9
f@@	9
á@@	4
…	2
á	2
c	2
q@@	1
jesu@@	1
