i@@	3556
a@@	3553
ali	3147
h@@	2734
e@@	2649
u@@	2605
l@@	2315
k@@	2179
na@@	2099
p@@	2016
o@@	1938
i	1863
ch@@	1842
w@@	1806
t@@	1804
m@@	1648
u	1635
at@@	1507
ny@@	1446
douk	1439
g@@	1421
b@@	1403
uk	1388
ana@@	1360
uli	1332
al@@	1313
umu	1307
nu	1271
n	1270
ak@@	1265
udak	1247
s@@	1125
k	1081
h	941
d@@	937
ul@@	921
ak	889
ne@@	871
ma@@	854
ech@@	837
s	832
m	811
pe	799
eny@@	799
ag@@	798
mu	794
y@@	765
nu@@	765
ene@@	760
ab@@	757
wi@@	752
li	744
en	744
uk@@	734
n@@	694
eke	678
a	676
ch	665
jisas	645
wo@@	639
ech	627
yo@@	615
chu@@	602
anani@@	593
anan	563
nek	548
ob@@	536
ha@@	507
e	507
ipak	505
pu@@	497
ip@@	497
ai@@	477
nyu@@	473
mo@@	461
o	457
wak@@	456
r@@	454
uh	449
ul	446
nakli	446
be@@	440
god	437
l	429
og@@	420
balan	417
t	413
elpech	400
nam@@	386
ig@@	386
amam	383
cha@@	381
nak	375
wa@@	373
wak	360
ti@@	359
nubu	357
yek	354
nek@@	350
naklip@@	349
il@@	347
no@@	343
imu	342
echech	342
b	309
sa@@	297
p	290
g	273
lip@@	271
nak@@	258
j@@	255
ni@@	217
do@@	206
isa@@	202
ud@@	192
v@@	184
ye@@	173
-@@	159
go@@	151
lp@@	136
ek@@	116
w	105
f@@	98
ama@@	88
elp@@	85
ala@@	85
‘	78
bu	70
’	69
1@@	38
0@@	37
2@@	26
7@@	14
5@@	11
[	9
3@@	9
]	8
0	8
v	7
6@@	6
4@@	5
bala@@	4
8@@	4
9@@	2
3	2
2	2
1	2
r	1
d	1
