n@@	3241
m@@	3160
i@@	3142
g@@	3119
s@@	2827
ha@@	2557
o@@	2492
j@@	2351
d@@	2242
a@@	1846
eo@@	1766
u@@	1747
a	1711
b@@	1699
-@@	1695
l@@	1677
e@@	1664
n	1262
eu@@	1172
al@@	1092
si@@	1055
an@@	1047
w@@	1008
il@@	1007
yeo@@	984
ae@@	969
-eul	945
e	905
i	878
ng@@	859
o	798
-eu@@	791
ga	768
-i	748
ss@@	685
deul@@	652
kk@@	645
y@@	641
ul@@	627
yeo	626
go	612
h@@	611
eul	600
neun	573
eo	555
ja@@	551
geo@@	518
ui	513
ila	503
ji@@	489
ge	481
ga@@	479
tt@@	459
na@@	442
eseo	427
eol@@	421
do@@	420
doe	410
`	409
u	407
ala@@	403
yes@@	402
ang@@	396
ch@@	391
eohu@@	390
ni	383
-e	381
'	375
l	371
p@@	369
neu@@	345
eul@@	337
t@@	197
g	194
eoh@@	136
k@@	108
es@@	108
c@@	93
m	74
d	66
s	58
b	26
h	14
t	4
p	1
j	1
]	1
[	1
