n@@	3624
g@@	3515
m@@	3160
i@@	3142
s@@	2827
ha@@	2557
o@@	2492
j@@	2351
a@@	2249
d@@	2242
eo@@	2187
u@@	2137
l@@	2098
-@@	2076
a	1711
b@@	1699
e	1696
e@@	1664
al@@	1495
an@@	1443
n	1262
i	1261
eu@@	1172
si@@	1055
y@@	1043
w@@	1008
il@@	1007
h@@	1002
yeo@@	984
ae@@	969
-eul	945
ng@@	859
do@@	830
o	798
-eu@@	791
ga	768
-i	748
ss@@	685
deul@@	652
kk@@	645
ul@@	627
yeo	626
go	612
eul	600
neun	573
eo	555
ja@@	551
eoh@@	526
geo@@	518
ui	513
es@@	510
ila	503
ji@@	489
c@@	484
ge	481
ga@@	479
tt@@	459
na@@	442
eseo	427
`	409
u	407
'	375
l	371
p@@	369
neu@@	345
eul@@	337
t@@	197
g	194
k@@	108
m	74
d	66
s	58
b	26
h	14
t	4
p	1
j	1
]	1
[	1
