a	6983
ĩ	5044
na	3763
töpö	2718
tä	2568
i@@	2344
ö	2180
nö	1924
ma	1862
o	1837
l@@	1760
a@@	1671
s@@	1477
i	1439
jesus	1422
ha	1355
o@@	1305
ö@@	1196
kuu	1182
e@@	1163
ka@@	1102
h@@	1102
sa	1046
ku@@	1043
u@@	1041
wi	1014
ma@@	1010
t@@	1006
p@@	1001
ai	955
ti@@	916
u	871
to@@	866
ä@@	865
at@@	834
pi	822
si@@	814
w@@	769
so@@	768
al@@	767
pa@@	756
pa	736
wa	727
makö	683
kö@@	680
kua	680
ap@@	672
pö	647
ko@@	643
k@@	635
na@@	627
teusö	621
wa@@	615
mö@@	595
ki@@	593
kö	572
e	568
ta	563
hu@@	560
anö	555
pata	540
alo	537
tä@@	527
mo@@	522
kuuma	520
li	517
pi@@	511
n@@	511
mo	509
pe@@	506
te@@	505
no@@	488
sai	483
sa@@	479
wö	463
ã@@	447
ta@@	447
öma	443
wani	439
kitä	424
ni@@	421
noai	419
kai	404
tha@@	399
alo@@	398
iki	396
toti@@	387
hi@@	369
pii	366
ti	363
ki	358
po@@	342
li@@	331
sal@@	325
hap@@	320
ka	315
m@@	314
sö	303
kal@@	298
salo	296
kõ@@	296
mai	292
töpönö	290
maaki	290
hö̃tö@@	286
mi	285
pö@@	281
ho@@	277
ä	266
ni	266
so	263
kule	262
sinomo	260
soat@@	257
hamö	256
hai	256
apa	251
su@@	213
hö@@	210
le	207
j@@	207
pat@@	205
ha@@	184
tö@@	183
sino@@	171
mö	168
ĩ@@	144
õ@@	130
r@@	114
é@@	113
s	99
ẽ@@	83
d@@	82
kuu@@	58
‘	53
’	52
maa@@	50
teu@@	39
1@@	38
je@@	36
̃	32
2	28
é	25
c@@	23
̃@@	19
v@@	18
pönö	18
g@@	16
0	16
á@@	15
7	14
hö̃@@	13
ó	11
0@@	9
b@@	8
5	8
â@@	7
ũ	6
3	6
á	5
6	5
5@@	5
ũ@@	4
õ	4
.@@	4
í@@	3
ã	3
ó@@	2
f@@	2
1	2
ê@@	1
8	1
6@@	1
4@@	1
3@@	1
2@@	1
