u@@	2417
a@@	2386
ka	2064
e@@	2011
te@@	1705
intok	1693
o@@	1654
a	1614
a'	1610
i@@	1567
k@@	1439
u	1391
e	1380
ta	1370
po	1238
r@@	1111
―	1100
i	1100
j@@	1089
ta@@	1073
p@@	1054
ji@@	1045
ch@@	992
y@@	985
s@@	927
l@@	897
be@@	897
ka@@	889
t@@	877
k	872
m@@	835
aa@@	834
m	807
wa@@	806
b@@	790
ju'u	776
w@@	767
n@@	764
am@@	742
im	711
ia@@	686
na@@	685
ne@@	679
ak	675
'@@	658
tu@@	645
ne	621
em@@	603
tu'@@	601
ia	580
t	563
a'a@@	557
sa@@	532
ti	528
me@@	524
ja@@	517
:	517
in@@	514
a'@@	513
au	512
jume'	501
e'@@	481
ma@@	468
o	463
n	459
ba@@	443
to@@	437
no@@	427
o'o@@	423
et	420
ko@@	411
we@@	399
im@@	382
su@@	376
juka'	374
ka'@@	372
ju@@	363
am	350
betchi'bo	345
kai	339
bw@@	336
bich@@	333
ku@@	332
betana	330
jiiak	320
jo@@	307
ame	306
ye@@	302
ama	302
jesus	294
taa	293
junak	293
en@@	287
tua	283
ka'a	282
o'@@	281
bi@@	278
bwe'@@	277
uta	275
e'e@@	274
yoem@@	273
kam@@	269
ur@@	260
junuen	256
ee@@	254
itu@@	251
yeu	250
si'@@	250
waa@@	249
jiaps@@	249
la	248
eme'e	247
inen	242
junam@@	240
ameu	240
liojta	238
ini@@	234
ench@@	233
nee	232
emo	232
an@@	227
in	226
'	226
inime'e	224
ti@@	223
tau	222
ini'i	222
aman	220
is@@	217
bem	216
juni'i	213
ko	212
si@@	207
maj@@	207
ri@@	205
isi	205
tte@@	204
jo'@@	204
juna@@	201
a'a	200
an	199
'a@@	199
junama'a	198
ik	198
ju'@@	196
jesu@@	192
en	178
jun@@	177
jia@@	156
e'e	153
j	142
yo@@	135
li@@	133
i'@@	132
s	109
tch@@	108
oj@@	78
je@@	78
’	71
lioj@@	61
p	52
bo	51
na	45
tana	44
l	41
ps@@	40
inim@@	39
eu	34
ka'	29
junu@@	24
iak	21
into@@	20
r	6
i'i	5
me'	4
betchi'@@	3
h@@	1
c@@	1
