a@@	3831
i@@	2848
u@@	2297
i	2070
an@@	2033
a	2024
ya	1990
da	1755
n@@	1707
k@@	1516
r@@	1425
ma@@	1366
t@@	1263
d@@	1218
b@@	1183
y@@	1179
g@@	1166
ar@@	1139
an	1138
e	1127
su	1094
in	990
o@@	951
m@@	936
wa	908
ku@@	870
f@@	870
ma	869
z@@	864
sa	787
w@@	782
l@@	749
h@@	743
n	738
e@@	714
ka@@	709
ka	706
sa@@	690
ɗ@@	685
r	680
j@@	659
ta	656
mu@@	645
sai	637
c@@	630
ya@@	621
ba	597
ce	590
o	587
ta@@	565
suka	558
na	558
ku	548
ƙ@@	546
s@@	543
shi	541
wa@@	530
al@@	512
yi	499
sh@@	498
u	494
ba@@	476
ke	447
ga	425
'@@	381
su@@	373
ɓ@@	154
m	136
h	120
k	119
s	104
ā@@	100
‘	81
’	74
d	34
ā	30
ă	27
t	21
-@@	18
l	6
b	4
f	1
